Name; Elements
W_7000_15_450;[[3623.467,(36,148)],[3623.467,(36,148)],[7000,(36,148)],[787.608,(36,36)],[787.608,(36,36)],[1570.704,(36,36)],[1570.704,(36,36)]]
W_8000_15_450;[[4141.105,(48,148)],[4141.105,(48,148)],[8000,(36,148)],[900.123,(36,36)],[900.123,(36,36)],[1795.09,(36,36)],[1795.09,(36,36)]]
W_3000_20_450;[[1596.267,(36,36)],[1596.267,(36,36)],[3000,(36,36)],[376.276,(36,36)],[376.276,(36,36)],[767.898,(36,36)],[767.898,(36,36)]]
W_4000_20_450;[[2128.356,(36,48)],[2128.356,(36,48)],[4000,(36,36)],[501.701,(36,36)],[501.701,(36,36)],[1023.864,(36,36)],[1023.864,(36,36)]]
W_5000_20_450;[[2660.444,(36,148)],[2660.444,(36,148)],[5000,(36,36)],[627.127,(36,36)],[627.127,(36,36)],[1279.83,(36,36)],[1279.83,(36,36)]]
W_6000_20_450;[[3192.533,(36,148)],[3192.533,(36,148)],[6000,(36,36)],[752.552,(36,36)],[752.552,(36,36)],[1535.796,(36,36)],[1535.796,(36,36)]]
W_7000_20_450;[[3724.622,(36,148)],[3724.622,(36,148)],[7000,(36,148)],[877.977,(36,36)],[877.977,(36,36)],[1791.762,(36,36)],[1791.762,(36,36)]]
W_8000_20_450;[[4256.711,(36,148)],[4256.711,(36,148)],[8000,(36,148)],[1003.403,(36,36)],[1003.403,(36,36)],[2047.728,(36,36)],[2047.728,(36,36)]]
W_3000_25_450;[[1655.067,(36,36)],[1655.067,(36,36)],[3000,(36,36)],[424.614,(36,36)],[424.614,(36,36)],[883.655,(36,36)],[883.655,(36,36)]]
W_4000_25_450;[[2206.756,(36,36)],[2206.756,(36,36)],[4000,(36,36)],[566.153,(36,36)],[566.153,(36,36)],[1178.207,(36,36)],[1178.207,(36,36)]]
W_5000_25_450;[[2758.445,(36,48)],[2758.445,(36,48)],[5000,(36,36)],[707.691,(36,36)],[707.691,(36,36)],[1472.759,(36,36)],[1472.759,(36,36)]]
W_6000_25_450;[[3310.134,(36,148)],[3310.134,(36,148)],[6000,(36,36)],[849.229,(36,36)],[849.229,(36,36)],[1767.31,(36,36)],[1767.31,(36,36)]]
W_7000_25_450;[[3861.822,(36,148)],[3861.822,(36,148)],[7000,(36,48)],[990.767,(36,36)],[990.767,(36,36)],[2061.862,(36,36)],[2061.862,(36,36)]]
W_8000_25_450;[[4413.511,(36,148)],[4413.511,(36,148)],[8000,(36,148)],[1132.305,(36,36)],[1132.305,(36,36)],[2356.414,(36,36)],[2356.414,(36,36)]]
W_3000_30_450;[[1732.051,(36,36)],[1732.051,(36,36)],[3000,(36,36)],[482.804,(36,36)],[482.804,(36,36)],[1020.588,(36,36)],[1020.588,(36,36)]]
W_4000_30_450;[[2309.401,(36,36)],[2309.401,(36,36)],[4000,(36,36)],[643.739,(36,36)],[643.739,(36,36)],[1360.784,(36,36)],[1360.784,(36,36)]]
W_5000_30_450;[[2886.751,(36,48)],[2886.751,(36,48)],[5000,(36,36)],[804.674,(36,36)],[804.674,(36,36)],[1700.98,(36,36)],[1700.98,(36,36)]]
W_6000_30_450;[[3464.102,(36,148)],[3464.102,(36,148)],[6000,(36,36)],[965.609,(36,36)],[965.609,(36,36)],[2041.176,(36,36)],[2041.176,(36,36)]]
W_7000_30_450;[[4041.452,(36,148)],[4041.452,(36,148)],[7000,(36,36)],[1126.543,(36,36)],[1126.543,(36,36)],[2381.372,(36,36)],[2381.372,(36,36)]]
W_8000_30_450;[[4618.802,(36,148)],[4618.802,(36,148)],[8000,(36,148)],[1287.478,(36,36)],[1287.478,(36,36)],[2721.568,(36,36)],[2721.568,(36,36)]]
W_3000_35_450;[[1831.162,(36,36)],[1831.162,(36,36)],[3000,(36,36)],[551.918,(36,36)],[551.918,(36,36)],[1180.997,(36,36)],[1180.997,(36,36)]]
W_4000_35_450;[[2441.549,(36,36)],[2441.549,(36,36)],[4000,(36,36)],[735.891,(36,36)],[735.891,(36,36)],[1574.663,(36,36)],[1574.663,(36,36)]]
W_5000_35_450;[[3051.936,(36,48)],[3051.936,(36,48)],[5000,(36,36)],[919.864,(36,36)],[919.864,(36,36)],[1968.328,(36,36)],[1968.328,(36,36)]]
W_6000_35_450;[[3662.324,(36,148)],[3662.324,(36,148)],[6000,(36,36)],[1103.836,(36,36)],[1103.836,(36,36)],[2361.994,(36,36)],[2361.994,(36,36)]]
W_7000_35_450;[[4272.711,(36,148)],[4272.711,(36,148)],[7000,(36,36)],[1287.809,(36,36)],[1287.809,(36,36)],[2755.66,(36,36)],[2755.66,(36,36)]]
W_8000_35_450;[[4883.098,(36,148)],[4883.098,(36,148)],[8000,(36,48)],[1471.782,(36,36)],[1471.782,(36,36)],[3149.325,(36,36)],[3149.325,(36,36)]]
W_3000_15_600;[[1552.914,(36,36)],[1552.914,(36,36)],[3000,(36,36)],[337.546,(36,36)],[337.546,(36,36)],[673.159,(36,36)],[673.159,(36,36)]]
W_4000_15_600;[[2070.553,(36,48)],[2070.553,(36,48)],[4000,(36,36)],[450.062,(36,36)],[450.062,(36,36)],[897.545,(36,36)],[897.545,(36,36)]]
W_5000_15_600;[[2588.191,(36,148)],[2588.191,(36,148)],[5000,(36,36)],[562.577,(36,36)],[562.577,(36,36)],[1121.931,(36,36)],[1121.931,(36,36)]]
W_6000_15_600;[[3105.829,(36,148)],[3105.829,(36,148)],[6000,(36,148)],[675.092,(36,36)],[675.092,(36,36)],[1346.318,(36,36)],[1346.318,(36,36)]]
W_7000_15_600;[[3623.467,(36,148)],[3623.467,(36,148)],[7000,(36,148)],[787.608,(36,36)],[787.608,(36,36)],[1570.704,(36,36)],[1570.704,(36,36)]]
W_8000_15_600;[[4141.105,(48,148)],[4141.105,(48,148)],[8000,(36,148)],[900.123,(36,36)],[900.123,(36,36)],[1795.09,(36,36)],[1795.09,(36,36)]]
W_3000_20_600;[[1596.267,(36,36)],[1596.267,(36,36)],[3000,(36,36)],[376.276,(36,36)],[376.276,(36,36)],[767.898,(36,36)],[767.898,(36,36)]]
W_4000_20_600;[[2128.356,(36,48)],[2128.356,(36,48)],[4000,(36,36)],[501.701,(36,36)],[501.701,(36,36)],[1023.864,(36,36)],[1023.864,(36,36)]]
W_5000_20_600;[[2660.444,(36,148)],[2660.444,(36,148)],[5000,(36,36)],[627.127,(36,36)],[627.127,(36,36)],[1279.83,(36,36)],[1279.83,(36,36)]]
W_6000_20_600;[[3192.533,(36,148)],[3192.533,(36,148)],[6000,(36,148)],[752.552,(36,36)],[752.552,(36,36)],[1535.796,(36,36)],[1535.796,(36,36)]]
W_7000_20_600;[[3724.622,(36,148)],[3724.622,(36,148)],[7000,(36,148)],[877.977,(36,36)],[877.977,(36,36)],[1791.762,(36,36)],[1791.762,(36,36)]]
W_8000_20_600;[[4256.711,(48,148)],[4256.711,(48,148)],[8000,(36,148)],[1003.403,(36,36)],[1003.403,(36,36)],[2047.728,(36,36)],[2047.728,(36,36)]]
W_3000_25_600;[[1655.067,(36,36)],[1655.067,(36,36)],[3000,(36,36)],[424.614,(36,36)],[424.614,(36,36)],[883.655,(36,36)],[883.655,(36,36)]]
W_4000_25_600;[[2206.756,(36,48)],[2206.756,(36,48)],[4000,(36,36)],[566.153,(36,36)],[566.153,(36,36)],[1178.207,(36,36)],[1178.207,(36,36)]]
W_5000_25_600;[[2758.445,(36,148)],[2758.445,(36,148)],[5000,(36,36)],[707.691,(36,36)],[707.691,(36,36)],[1472.759,(36,36)],[1472.759,(36,36)]]
W_6000_25_600;[[3310.134,(36,148)],[3310.134,(36,148)],[6000,(36,36)],[849.229,(36,36)],[849.229,(36,36)],[1767.31,(36,36)],[1767.31,(36,36)]]
W_7000_25_600;[[3861.822,(36,148)],[3861.822,(36,148)],[7000,(36,148)],[990.767,(36,36)],[990.767,(36,36)],[2061.862,(36,36)],[2061.862,(36,36)]]
W_8000_25_600;[[4413.511,(48,148)],[4413.511,(48,148)],[8000,(36,148)],[1132.305,(36,36)],[1132.305,(36,36)],[2356.414,(36,36)],[2356.414,(36,36)]]
W_3000_30_600;[[1732.051,(36,36)],[1732.051,(36,36)],[3000,(36,36)],[482.804,(36,36)],[482.804,(36,36)],[1020.588,(36,36)],[1020.588,(36,36)]]
